timestamp_utc,headline,product_release
2012-11-20 14:42:00+00:00,Datadog Announces $6.2M Investment from Index Ventures and RTP Ventures,TRUE
2013-06-11 09:00:00+00:00,Datadog Empowers Dev and Ops Teams in Seconds to See the IT Infrastructure Data that Matters,FALSE
2013-08-06 09:00:00+00:00,Datadog Addresses Top AWS Performance Problems,TRUE
2013-09-25 09:00:00+00:00,Datadog Highlights How to Resolve Top 5 Redis Performance Issues,FALSE
2013-10-09 09:00:00+00:00,"Datadog Pinpoints Issues in AWS, HP Cloud and OpenStack Environments",FALSE
2013-10-31 00:00:00+00:00,Datadog Reports Record Q3 Revenue Growth,FALSE
2014-02-04 00:00:00+00:00,Datadog Raises $15 Million to Deliver Scalable Monitoring for Next-Generation Cloud Deployments,FALSE
2014-11-04 09:00:00+00:00,Datadog joins Google Cloud Platform Partner Ecosystem to Monitor Infrastructure and Applications at Scale,FALSE
2015-01-29 09:00:00+00:00,Datadog Raises $31M in Series C Funding,FALSE
2015-02-11 09:00:00+00:00,Datadog Acquires Mortar Data to Enhance Analytics for Cloud Monitoring,TRUE
2015-05-04 09:30:00+00:00,Datadog Enhances Performance Monitoring with Microsoft Azure,TRUE
2015-06-09 08:00:00+00:00,Datadog Demonstrates Integration with Docker Platform as Part of Ecosystem Technology Partner (ETP) Program for Monitoring,FALSE
2015-09-21 12:00:00+00:00,Datadog One of Best Places to Work in New York City,FALSE
2015-09-29 12:00:00+00:00,Datadog Launches Monitoring for Docker Containers Managed by Amazon ECS,TRUE
2015-10-15 09:00:00+00:00,Datadog Opens New R&D Innovation Lab in Paris,FALSE
2016-01-12 07:30:00+00:00,Datadog Raises $94.5M in Series D Funding,FALSE
2016-06-16 09:00:00+00:00,"CloudHealth Partners with Datadog, Connecting Cloud Performance Metrics to Cloud Costs for Enterprise and Fast-Growing Technology Companies",FALSE
2016-06-20 09:00:00+00:00,"Datadog Introduces Monitoring For Highly Dynamic Docker Environments, Releases Latest Docker Adoption Research",TRUE
2016-07-11 09:00:00+00:00,Datadog Expands Monitoring Solution Across Stack for Microsoft Customers,TRUE
2016-08-10 08:00:00+00:00,"Datadog Announces Integration With AWS Lambda, Enables Support for Serverless Architectures",TRUE
