timestamp_utc,quarter_label,revenue (USD),revenue_qoq (%),revenue_yoy (%),rpo (USD),rpo_qoq (%),rpo_yoy (%),billings (USD),billings_qoq (%),billings_yoy (%),large_customer_count,large_customer_qoq (%),large_customer_yoy (%),net_revenue_retention (%)
2019-03-31 00:00:00+00:00,2019 Q1,70050000,,,,,,,,,,,,
2019-06-30 00:00:00+00:00,2019 Q2,83222000,18.8037,,,,,,,,,,,
2019-09-30 00:00:00+00:00,2019 Q3,95864000,15.1907,,206400000,,,,,,727,,,
2019-12-31 00:00:00+00:00,2019 Q4,113644000,18.5471,,243800000,18.1202,,130339000,,,858,18.0193,,
2020-03-31 00:00:00+00:00,2020 Q1,131248000,15.4905,87.3633,256100000,5.0451,,137942000,5.8333,,960,11.8881,,
2020-06-30 00:00:00+00:00,2020 Q2,140012000,6.6774,68.2392,286700000,11.9485,,160105000,16.0669,,1015,5.7292,,131.0
2020-09-30 00:00:00+00:00,2020 Q3,154675000,10.4727,61.3484,316300000,10.3244,53.2461,155854000,-2.6551,,1107,9.064,52.2696,131.0
2020-12-31 00:00:00+00:00,2020 Q4,177531000,14.7768,56.2168,434100000,37.2431,78.0558,219352000,40.742,68.2935,1253,13.1888,46.0373,131.0
2021-03-31 00:00:00+00:00,2021 Q1,198549000,11.8391,51.2777,464300000,6.9569,81.2964,219549000,0.0898,59.1604,1437,14.6848,49.6875,131.0
2021-06-30 00:00:00+00:00,2021 Q2,233549000,17.6279,66.8064,583300000,25.63,103.4531,270201000,23.0709,68.7649,1610,12.039,58.6207,131.0
2021-09-30 00:00:00+00:00,2021 Q3,270488000,15.8164,74.8751,718600000,23.1956,127.1894,308777000,14.2768,98.1194,1800,11.8012,62.6016,131.0
2021-12-31 00:00:00+00:00,2021 Q4,326198000,20.5961,83.7414,815000000,13.415,87.7448,407863000,32.0898,85.94,2010,11.6667,60.415,131.0
2022-03-31 00:00:00+00:00,2022 Q1,363030000,11.2913,82.8415,857900000,5.2638,84.7728,444759000,9.0462,102.5785,2250,11.9403,56.5762,131.0
2022-06-30 00:00:00+00:00,2022 Q2,406138000,11.8745,73.8984,881400000,2.7392,51.1058,397301000,-10.6705,47.0391,2420,7.5556,50.3106,131.0
2022-09-30 00:00:00+00:00,2022 Q3,436533000,7.4839,61.3872,941000000,6.762,30.9491,465957000,17.2806,50.9041,2600,7.438,44.4444,131.0
2022-12-31 00:00:00+00:00,2022 Q4,469399000,7.5289,43.9,1057200000,12.3486,29.7178,537170000,15.2832,31.7035,2780,6.9231,38.3085,131.0
2023-03-31 00:00:00+00:00,2023 Q1,481714000,2.6236,32.6926,1138300000,7.6712,32.6845,510681000,-4.9312,14.822,2910,4.6763,29.3333,131.0
2023-06-30 00:00:00+00:00,2023 Q2,509460000,5.7598,25.4401,1252500000,10.0325,42.1035,519529000,1.7326,30.7646,2990,2.7491,23.5537,121.0
2023-09-30 00:00:00+00:00,2023 Q3,547536000,7.4738,25.4283,1446200000,15.4651,53.6876,606537000,16.7475,30.1702,3130,4.6823,20.3846,120.0
2023-12-31 00:00:00+00:00,2023 Q4,589649000,7.6914,25.6179,1839400000,27.1885,73.9879,722589000,19.1335,34.5178,3190,1.9169,14.7482,115.0
2024-03-31 00:00:00+00:00,2024 Q1,611253000,3.6639,26.8913,1731500000,-5.866,52.1128,617973000,-14.4779,21.0096,3340,4.7022,14.7766,115.0
2024-06-30 00:00:00+00:00,2024 Q2,645279000,5.5666,26.6594,1792400000,3.5172,43.1058,667225000,7.9699,28.4288,3390,1.497,13.3779,115.0
2024-09-30 00:00:00+00:00,2024 Q3,690016000,6.933,26.022,1821800000,1.6403,25.9715,688633000,3.2085,13.5352,3490,2.9499,11.5016,115.0
2024-12-31 00:00:00+00:00,2024 Q4,737727000,6.9145,25.1129,2273100000,24.7722,23.5783,908045000,31.862,25.6655,3610,3.4384,13.1661,118.0
2025-03-31 00:00:00+00:00,2025 Q1,761553000,3.2296,24.5888,2309000000,1.5793,33.3526,747702000,-17.658,20.9927,3770,4.4321,12.8743,118.0
2025-06-30 00:00:00+00:00,2025 Q2,826760000,8.5624,28.1244,2425800000,5.0585,35.3381,852373000,13.999,27.749,3850,2.122,13.5693,120.0
2025-09-30 00:00:00+00:00,2025 Q3,885651000,7.1231,28.3522,2787600000,14.9147,53.0135,892635000,4.7235,29.6242,4060,5.4545,16.3324,120.0
2025-12-31 00:00:00+00:00,2025 Q4,953194000,7.6264,29.2069,3461200000,24.1642,52.2678,1212259000,35.8068,33.5021,4310,6.1576,19.3906,120.0
2026-03-31 00:00:00+00:00,2026 Q1,1006426000,5.5846,32.1544,3484400000,0.6703,50.9052,1026139000,-15.3532,37.239,4550,5.5684,20.6897,122.0
2026-06-30 00:00:00+00:00,2026 Q2,1121454000,11.4294,35.6444,3471400000,-0.3731,43.1033,1176934000,14.6954,38.0773,4720,3.7363,22.5974,122.0
