timestamp_utc,headline,threats_and_vulnerabilities,opportunities_for_growth,neutral,news_score
2019-09-19 14:00:00+00:00,Datadog raises $648 million in high-profile cloud monitoring IPO,0.1503,0.2638,0.5859,
2019-10-15 09:30:00+00:00,Enterprise adoption of cloud infrastructure surges across major tech verticals,0.1367,0.7757,0.0876,0.7757
2019-12-10 16:15:00+00:00,Major cloud provider experiences temporary networking outage affecting SaaS apps,0.6961,0.1358,0.1681,-0.6961
2020-04-20 08:45:00+00:00,Remote work acceleration drives record cloud observability platform demand,0.1028,0.7873,0.1099,0.7873
2021-01-16 12:00:00+00:00,How Parler Deplatforming Shows Power of Cloud Providers,0.2728,0.4828,0.2444,0.4828
2021-01-27 12:00:00+00:00,Huawei Consumer Ceo Richard Yu Takes Reigns at Cloud and Ai Unit,0.1784,0.4412,0.3804,0.4412
2021-02-02 12:00:00+00:00,Google Cloud Lost 5point61 Billion on 13point06 Billion Revenue Last Year,0.4134,0.2916,0.295,-0.4134
2021-02-09 12:00:04+00:00,Stock Market Today This Could Be Best Way to Play Cloud Rally,0.0957,0.3643,0.54,
2021-02-10 12:00:02+00:00,Google Cloud Ceo Thomas Kurian We Need Scaleto Be Profitable,0.0907,0.6071,0.3022,0.6071
2021-02-11 13:30:00+00:00,Datadog expanding security monitoring tools to combat rising cloud cyber threats,0.1998,0.3916,0.4086,
2021-02-12 12:00:00+00:00,Steve Ballmer Wishes Microsoft Entered Cloud Computing Business Sooner,0.0939,0.721,0.1851,0.721
2021-02-17 12:00:00+00:00,Databricks Adds Google Cloud Container Option for on Premises,0.1323,0.6746,0.193,0.6746
2021-02-22 12:00:01+00:00,Oracle Stock Jumps As Investors Take a New Look at Its Cloud Story,0.2022,0.183,0.6149,
2021-03-12 12:00:00+00:00,Oracle Lag Behind Cloud Leaders in Capital Expenditures,0.4277,0.2634,0.309,-0.4277
2021-04-19 12:00:00+00:00,Microsoft Xbox Cloud Gaming for Iphone and Pc Rolls Out This Week,0.2833,0.329,0.3877,
2021-04-20 12:00:00+00:00,Uipath Ipo to Raise Nearly 1point5 Billion As Cloud Stocks Retreat,0.1374,0.3646,0.498,
2021-04-20 12:00:03+00:00,Microsoft Tells Cloud Customers About Data Center Energy Efficiency,0.1856,0.6085,0.2059,0.6085
2021-04-21 12:00:00+00:00,Dish Jumps After Announcing Aws Cloud Deal,0.3408,0.2273,0.4318,
2021-04-22 12:00:00+00:00,Google Cloud Ad Sales on Youtube Bolster Alphabets Long Term Growth,0.2049,0.5054,0.2897,0.5054
2021-04-22 12:00:02+00:00,Sap Says New Cloud Package a Hit Confirms Outlook,0.2819,0.4191,0.299,0.4191
2021-04-26 12:00:01+00:00,Thoma Bravo Purchase of Proofpoint Marks Top Private Equity Cloud Deal,0.0744,0.609,0.3166,0.609
2021-05-11 12:00:00+00:00,J2 Global Ceo Says Consensus Spinoff Will Unlock Value in Cloud Fax and Digital Media Businesses,0.0755,0.5038,0.4206,0.5038
2021-05-12 12:00:05+00:00,Google Cloud Helps England Manager Gareth Southgate to Pick Euros Team,0.1179,0.5287,0.3534,0.5287
2021-05-13 12:00:00+00:00,Google Cloud Wins Spacex Deal for Starlink Internet Connectivity,0.1313,0.6025,0.2662,0.6025
2021-05-14 12:00:00+00:00,Five9 Ceo Says Growth Is Accelerating As Cloud Adoption Sees New Phase,0.2588,0.5149,0.2263,0.5149
2021-05-17 12:00:00+00:00,Jim Cramer Sees More Pain Ahead in Cloud Stocks,0.1664,0.1048,0.7288,
2021-05-17 12:00:03+00:00,China Tech Stocks Goldman Sachs Names Its Buy Rated Cloud Shares,0.0892,0.4422,0.4686,
2021-05-26 12:00:00+00:00,Snowflake Ceo Urges Investors to Be Patient with Stock During Cloud Transition,0.1289,0.2354,0.6357,
2021-06-01 12:00:02+00:00,Kkr and Cdr Are Reportedly Nearing a Deal to Take Software Firm Cloudera Private,0.1048,0.5331,0.3621,0.5331
2021-06-04 12:00:00+00:00,Google Is Moving Parts of Youtube to Its Cloud Service,0.3033,0.4644,0.2323,0.4644
2021-06-08 12:00:02+00:00,Alibaba Cloud Expands Products with Livestream Shopping Data Centers,0.0947,0.7603,0.1451,0.7603
2021-06-10 12:00:02+00:00,E3 Microsoft Xbox Cloud Gaming Tv,0.1303,0.6345,0.2353,0.6345
2021-07-02 12:00:04+00:00,Here Are the Top Cloud Stocks by Net Revenue Retention Rate,0.1402,0.3976,0.4622,
2021-07-06 12:00:01+00:00,Pentagon Cancels 10 Billion Jedi Cloud Contract,0.2121,0.3182,0.4697,
2021-07-14 12:00:02+00:00,Microsoft Windows 365 to Offer Simpler Option for Cloud Based Pcs,0.1016,0.7822,0.1163,0.7822
2021-07-16 12:00:00+00:00,Google Separates with Cloud Vp After Employees Complain About Manifesto,0.2347,0.424,0.3414,0.424
2021-07-19 12:00:00+00:00,Zoom Is Buying Cloud Contact Center Provider Five9 for 14point7 Billion,0.1262,0.6336,0.2402,0.6336
2021-07-21 12:00:03+00:00,Sap Lifts Outlook As Cloud Push Gains Traction in the Second Quarter,0.1468,0.3927,0.4605,
2021-08-05 12:00:01+00:00,Datadog Soars to Record with Cloud Stocks Cloudflare and Asana,0.1363,0.3199,0.5438,
2021-08-09 12:00:00+00:00,Amazon Cloud Exec Charlie Bell Leaving After 23 Years Amid Aws Shakeup,0.4552,0.1587,0.3861,-0.4552
2021-08-12 12:00:00+00:00,Microsoft Challenges Nsa Cloud Contract Reportedly Awarded to Amazon,0.1867,0.5486,0.2647,0.5486
2021-08-23 12:00:01+00:00,Uk to Use Ex Deepmind Scientists Cloud Predicting Ai to Boost Solar,0.0965,0.5913,0.3121,0.5913
2021-08-24 12:00:02+00:00,Microsoft to Launch Cloud Gaming Service on Xbox Consoles,0.0872,0.796,0.1168,0.796
2021-08-25 12:00:01+00:00,Microsoft Hires Charlie Bell Former Amazon Cloud Exec,0.1486,0.5325,0.3189,0.5325
2021-08-25 12:00:04+00:00,German Business Morale Falls As Rising Covid Cases Cloud Outlook,0.223,0.2341,0.5429,
2021-08-26 12:00:00+00:00,Microsoft Warns Thousands of Cloud Customers of Exposed Databases Email Shows,0.2322,0.3804,0.3874,
2021-08-26 12:00:01+00:00,Uipath Daniel Dines on Automation Cloud Nyc,0.1439,0.5876,0.2685,0.5876
2021-09-15 12:00:00+00:00,Google Cloud Ceo Thomas Kurian Reorganizes Engineering Eyal Manor Out,0.1186,0.5069,0.3745,0.5069
2021-09-16 12:00:00+00:00,Google Cloud Ceo Thomas Kurian Not Afraid,0.1245,0.3267,0.5488,
2021-09-24 12:00:01+00:00,The Southbound Bond Connect Opens Friday Under the Cloud of Evergrande,0.1905,0.2694,0.5401,
2021-09-26 12:00:00+00:00,Google Lowers Its Cloud Marketplace Revenue Share to 3percent From 20percent,0.2542,0.4863,0.2595,0.4863
2021-10-19 12:00:00+00:00,Alibaba Launches New Server Chip to Boost Its Cloud Business,0.0982,0.7999,0.1018,0.7999
2021-10-20 12:00:00+00:00,Alibaba Expands Cloud Business Abroad with New Data Centers in Asia,0.1079,0.7917,0.1003,0.7917
2021-10-28 12:00:01+00:00,The Future Is Being Built on Hybrid Cloud and Aiis Your Business Ready,0.0835,0.7862,0.1303,0.7862
2021-11-04 12:00:01+00:00,Cloud Software Vendor Hashicorp Files for Ipo,0.1043,0.6562,0.2396,0.6562
2021-11-09 12:00:00+00:00,Collibra Doubles Valuation As Investors Chase Next Cloud Winner,0.1089,0.3457,0.5454,
2021-11-17 12:00:00+00:00,How 5g Is Key in Building the Intelligently Connected Cloud Based Economy,0.1203,0.6666,0.2131,0.6666
2021-11-18 12:00:06+00:00,Us China Tech War Clouds Sk Hynixs Plans for Key Chip Factory,0.1264,0.5002,0.3735,0.5002
2021-11-19 12:00:01+00:00,Pentagon Asks Amazon Google Microsoft Oracle for Cloud Bids,0.1456,0.6,0.2543,0.6
2021-11-22 12:00:00+00:00,Ericsson to Buy Cloud Firm Vonage for 6point2 Billion,0.0876,0.6064,0.3061,0.6064
2021-11-26 12:00:00+00:00,Google Warns Crypto Miners Are Using Compromised Cloud Accounts,0.2146,0.3677,0.4177,
2021-11-30 12:00:00+00:00,Goldman Sachs Unveils Amazon Backed Cloud Service for Wall Street Trading Firms,0.1225,0.6365,0.241,0.6365
2021-12-06 12:00:00+00:00,Heres How Jim Cramer Would Invest in a Potential Cloud Stock Rebound,0.0655,0.1268,0.8077,
2021-12-09 12:00:00+00:00,After Aws Outage Larry Ellison Says Oracles Cloud Never Goes Down,0.4163,0.1807,0.403,-0.4163
2021-12-09 12:00:02+00:00,Cloud Software Maker Hashicorp Hcp Starts Trading on Nasdaq,0.109,0.6448,0.2462,0.6448
2021-12-12 12:00:00+00:00,Aws Outage and Hashicorp Ipo Point to a Multicloud Future,0.3686,0.2868,0.3445,-0.3686
2021-12-20 12:00:00+00:00,Companies Are Accelerating Their Cybersecurity and Cloud Journeysheres Why You Should Too,0.1484,0.6166,0.235,0.6166
2022-01-03 12:00:00+00:00,4 Cloud Security Imperatives for Cios,0.1183,0.7124,0.1693,0.7124
2022-01-11 12:00:00+00:00,Microsoft Should Sell Office and Windows to Boost Cloud Former Exec,0.1246,0.6708,0.2046,0.6708
2022-01-19 12:00:01+00:00,Us Examining Alibabas Cloud Unit for National Security Risks Reuters,0.0982,0.5769,0.3249,0.5769
2022-01-25 12:00:00+00:00,Best Trades on Cnbc Tuesday Jim Cramers Cloud Stock Pick,0.0829,0.1663,0.7508,
2022-01-25 12:00:01+00:00,Cramers Investing Club Profile We Own Microsoft for Its Cloud Gaming and Subscriptions,0.0655,0.4527,0.4819,
2022-01-26 12:00:00+00:00,Cloud Software Stocks Get Boost Servicenow and Qualtrics Q4 Earnings,0.0817,0.6059,0.3124,0.6059
2022-01-26 12:00:01+00:00,Microsoft Stock Up on Strong Cloud Guidance,0.1335,0.4501,0.4164,0.4501
2022-01-27 12:00:00+00:00,Google Cloud Blockchain Team to Seek New Business,0.0865,0.76,0.1535,0.76
2022-01-28 12:00:00+00:00,Google Cloud Unit Shuffles Partnerships and Sales Groups Email Says,0.1778,0.5668,0.2554,0.5668
2022-02-03 12:00:00+00:00,Cramers Investing Club Amazons Cloud Led Earnings Only Give Glimpse of Its True Potential,0.0931,0.2697,0.6372,
2022-02-09 12:00:00+00:00,Salesforce Tells Employees Its Working on Nft Cloud Service,0.2357,0.5595,0.2048,0.5595
2022-03-19 12:00:00+00:00,Activist Investors Take Aim at Cloud Vendors Anaplan and Everbridge,0.0969,0.4955,0.4076,0.4955
2022-03-24 12:00:03+00:00,Bank of America Downgrades Netapp Says Cloud Data Company Has Limited Upside From Here,0.2772,0.3817,0.3412,0.3817
2022-03-29 12:00:01+00:00,Pentagon Will Award Up to 9 Billion in Cloud Contracts in December,0.1284,0.4728,0.3988,0.4728
2022-03-29 12:00:02+00:00,Google Microsoft Ramp Up Cloud Security As Cyberattacks Increase,0.1982,0.5629,0.239,0.5629
2022-04-20 12:00:01+00:00,Chinas Spiking Covid Cases Ukraine War Cloud Growth in Asia Says Imf,0.3014,0.2356,0.4629,
2022-04-28 12:00:00+00:00,Investing Club in Amazons Weaker Quarter Even Its Booming Cloud Business Wasnt Able to Save the Day,0.2837,0.242,0.4743,
2022-05-06 12:00:00+00:00,Googles Cloud Group Forms Web3 Product and Engineering Team,0.0959,0.7814,0.1227,0.7814
2022-05-29 12:00:00+00:00,Recession Fearing Investors Keep Slashing Fastest Growing Cloud Stocks,0.2788,0.1425,0.5786,
2022-06-03 12:00:00+00:00,Snowflake Can Jump 33percent As It Gains More Share in the Cloud Market Raymond James Say,0.13,0.258,0.612,
2022-06-06 12:00:01+00:00,Pelotons Cfo Is Leaving the Company Will Be Replaced by Amazon Cloud Executive,0.1947,0.3556,0.4497,
2022-06-09 12:00:00+00:00,Microsoft Is Bringing Xbox Game Pass Cloud Streaming to Smart Tvs,0.1256,0.6805,0.1938,0.6805
2022-06-23 12:00:00+00:00,This Cloud Company Is a Buy Thanks to Its Strong Margins and Moat Goldman Sachs Says,0.0852,0.4431,0.4716,
2022-06-28 12:00:01+00:00,Aws Ceo Says the Move to Cloud Computing Is Only Just Getting Started,0.2247,0.6015,0.1738,0.6015
2022-07-01 12:00:01+00:00,Despite Recession Fears Companies Arent Slowing Ai Cloud Tech Spend,0.2656,0.3853,0.3491,0.3853
2022-07-27 12:00:00+00:00,Alphabet and Microsofts Solid Cloud Results Are Good News for 3 of Our Chip Stocks,0.0887,0.2852,0.626,
2022-07-27 12:00:02+00:00,Analysts Cheer Microsofts Cloud Results and Upbeat Forecast,0.1047,0.2605,0.6348,
2022-08-02 12:00:01+00:00,Btig Downgrades Snowflake Says Growth Could Slow at Cloud Data Company,0.5578,0.168,0.2742,-0.5578
2022-08-16 12:00:00+00:00,Ubs Downgrades Snowflake to Neutral Says Cloud Computing Spend Could Slow,0.5396,0.1828,0.2777,-0.5396
2022-09-12 12:00:00+00:00,Amazons Cloud Ceo Sustainability Efforts and Profits Can Coexist,0.1546,0.5878,0.2576,0.5878
2022-09-16 12:00:01+00:00,Crowdstrike Can Rally More Than 30percent As Companies Adopt the Cloud Mkm Partners Says,0.1132,0.5535,0.3333,0.5535
2022-09-21 12:00:00+00:00,Barclays Upgrades Arista Says Cloud Stock Can Sustain Revenue Growth Going Forward,0.1444,0.6084,0.2472,0.6084
2022-09-22 12:00:00+00:00,Uks Ofcom Probes Amazon Microsoft and Google Over Cloud Dominance,0.3037,0.4342,0.262,0.4342
2022-09-23 12:00:00+00:00,Alibaba Pledges 1 Billion to Cloud Computing Customers to Reignite Growth,0.1248,0.7403,0.1349,0.7403
2022-10-11 12:00:00+00:00,Google Selects Coinbase to Take Cloud Payments with Cryptocurrencies,0.0693,0.8064,0.1243,0.8064
2022-10-12 12:00:00+00:00,Microsoft Github Relying More on Azure Cloud Services Scott Guthrie,0.0871,0.81,0.1029,0.81
2022-10-12 12:00:01+00:00,Microsoft Cloud Boss Scott Guthrie Customers Not Cutting Spending,0.2491,0.1416,0.6093,
2022-10-26 12:00:00+00:00,Seagate Will Cut 3000 Employees in Latest Sign of Major Pc and Cloud Slowdown,0.7232,0.0818,0.195,-0.7232
2022-11-02 12:00:01+00:00,Buy Salesforce As Cloud Company Goes Down the Microsoft Pathway Macquarie Says,0.0683,0.8091,0.1226,0.8091
2022-11-03 11:45:00+00:00,Cloud spending growth moderates as enterprises optimize IT infrastructure overhead,0.5814,0.3102,0.1084,-0.5814
