timestamp_utc,headline,classlabel
2019-09-19 14:00:00+00:00,Datadog raises $648 million in high-profile cloud monitoring IPO,neutral
2019-10-15 09:30:00+00:00,Enterprise adoption of cloud infrastructure surges across major tech verticals,opportunities _for_growth
2019-12-10 16:15:00+00:00,Major cloud provider experiences temporary networking outage affecting SaaS apps,threats_and_vulnerabilities
2020-04-20 08:45:00+00:00,Remote work acceleration drives record cloud observability platform demand,opportunities _for_growth
2022-10-11 12:00:00+00:00,Google Selects Coinbase to Take Cloud Payments with Cryptocurrencies,opportunities _for_growth
2022-10-12 12:00:00+00:00,Microsoft Github Relying More on Azure Cloud Services Scott Guthrie,opportunities _for_growth
2022-10-12 12:00:01+00:00,Microsoft Cloud Boss Scott Guthrie Customers Not Cutting Spending,neutral
2022-10-26 12:00:00+00:00,Seagate Will Cut 3000 Employees in Latest Sign of Major Pc and Cloud Slowdown,threats_and_vulnerabilities
2022-11-02 12:00:01+00:00,Buy Salesforce As Cloud Company Goes Down the Microsoft Pathway Macquarie Says,opportunities _for_growth
2022-11-03 11:45:00+00:00,Cloud spending growth moderates as enterprises optimize IT infrastructure overhead,threats_and_vulnerabilities
2022-11-04 12:00:00+00:00,Ubs Downgrades Teva to Sell As Ceo Exit Ongoing Litigation Cloud the Pharma Stocks Outlook,neutral
2022-11-07 12:00:03+00:00,What Cramer Is Watching Monday Midterm Election Apple in China Cloud Collapse,neutral
2022-11-11 12:00:00+00:00,Jim Cramer Says to Hold Onto These 3 Cloud Stocks and Sell the Rest,neutral
2022-11-15 12:00:00+00:00,Amazon Starts Cutting Jobs in Alexa Unit and Cloud Gaming Division,threats_and_vulnerabilities
2022-11-17 12:00:00+00:00,Dropbox Helped End Thumb Drive Era But the Cloud Is Getting Crowded,threats_and_vulnerabilities
2022-11-30 12:00:02+00:00,Tencent Bets on Cloud Computing Growth Abroad Amid Gaming Slowdown,opportunities _for_growth
2022-12-06 12:00:00+00:00,Tech Wreckage Catches Up to Salesforce As Cloud Giants Valuation Reaches Parity to Microsofts,threats_and_vulnerabilities
2022-12-07 12:00:00+00:00,Google Oracle Amazon and Microsoft Awarded 9 Billion Pentagon Cloud Deals,opportunities _for_growth
2022-12-08 12:00:00+00:00,Jim Cramers Top 10 Things Thursday War Cloud Salesforce Gamestop,neutral
2022-12-12 12:00:05+00:00,Jpmorgan Upgrades Box Says Cloud Stock Can Rally 20percent on Strong Financials and Product Suite,opportunities _for_growth
2022-12-13 12:00:00+00:00,Nasdaq Brings First Us Options Market to the Cloud with Revolutionary Edge Computing,opportunities _for_growth
2022-12-17 12:00:00+00:00,How Cloud Seeding Can Help Replenish Reservoirs in the West,neutral
2022-12-28 12:00:00+00:00,How Amazons Cloud Unit Is Helping Researchers Analyze Genetics,opportunities _for_growth
2023-01-04 12:00:00+00:00,Microsoft Drops After Ubs Analysts Say Company Faces Cloud Weakness,threats_and_vulnerabilities
2023-01-11 12:00:00+00:00,The Cloud Investing Outlook After the Stocks Were Cut in Half Last Year Top Picks for 23,neutral
2023-02-04 12:00:01+00:00,Amazon Google Microsoft Show Slowing Growth in Cloud Infrastructure,threats_and_vulnerabilities
2023-02-07 12:00:01+00:00,Microsofts Cloud Business Stands to Gain From the Ai Craze,opportunities _for_growth
2023-02-13 12:00:01+00:00,This Under the Radar Cloud Stock Could Surge 60percent Bank of America Says,neutral
2023-02-16 13:00:00+00:00,Datadog launches innovative Cloud Cost Management suite to boost enterprise efficiency,opportunities _for_growth
2023-02-21 12:00:00+00:00,Microsoft Will Bring Xbox Games to Nvidias Cloud Gaming Service,opportunities _for_growth
2023-02-28 12:00:02+00:00,Petco Selects Adobe Experience Cloud As a One Stop Destination for Pet Parents,opportunities _for_growth
2023-04-05 12:00:02+00:00,Microsoft Amazon Make It Harder to Switch Cloud Uk Watchdog Says,neutral
2023-04-11 12:00:01+00:00,Analysts Worry About Microsofts Cloud But Really Like Humana,neutral
2023-04-12 12:00:02+00:00,Morgan Stanley Upgrades This Cloud Database Stock Sees a Pivot to Profitability,opportunities _for_growth
2023-04-25 12:00:00+00:00,Googles Cloud Business Turns Profitable for the First Time on Record,opportunities _for_growth
2023-04-26 12:00:00+00:00,Amazon Starts Layoffs Impacting Hr and Aws Cloud Unit,threats_and_vulnerabilities
2023-04-28 12:00:00+00:00,Amazon Falls on Slowing Cloud Growth How the Pros Are Playing It,threats_and_vulnerabilities
2023-04-28 12:00:01+00:00,Oil Set for Second Weekly Drop As Recession Fears Rates Cloud Outlook,neutral
2023-04-28 12:00:06+00:00,Microsofts Big Bet on Cloud Gaming Is What Tripped Up Activision Deal,neutral
2023-04-29 12:00:00+00:00,Google Cloud Boss Thomas Kurians Rocky Path to Profit,neutral
2023-05-01 12:00:02+00:00,Amazon Microsoft and Alphabet Deliver Slower Cloud Growth Whats Ahead,threats_and_vulnerabilities
