source,metric,optimal window,optimal lag,hy estimator,linr_r2,linr_rmse,rf_r2,rf_rmse
PYPL Returns,Revenue (USD),61,67,-0.1239,-13.385086922978982,563263452.4948503,-12.995929546249949,555592278.5312668
PYPL Returns,Remaining Performance Obligations (RPO) (USD),89,72,-0.259,-7.819054054999006,1924026951.6631124,-6.788661728028288,1808137986.3220248
PYPL Returns,RPO QoQ Growth Rate (%),75,67,-0.3701,-0.2237118435381668,10.577878994786952,-0.6023663301037312,12.104306671325348
PYPL Returns,Calculated Billings (USD),61,43,-0.44,-7.623729136479202,548497546.0777194,-8.506675518881309,575892563.7677839
PYPL Returns,Billings QoQ Growth Rate (%),66,72,-0.4444,-0.1195945096313308,19.273114743071783,-0.1964629379074389,19.923753141089925
PYPL Returns,Billings YoY Growth Rate (%),90,77,-0.4958,-9.898520454249946,19.082242724020883,-24.165940110511464,28.996943563061432
PYPL Returns,Large Customer QoQ Growth Rate (%),90,20,-0.4396,-10.858755374276283,5.216360196253064,-14.16404846452335,5.898690355627269
PYPL Returns,Large Customer YoY Growth Rate (%),89,37,-0.2697,-35.97703527327401,23.600921474770317,-35.52258648355891,23.455445125879017
PYPL Returns,Net Revenue Retention (%),80,29,-0.1857,-12.036948860657883,7.856322597893825,-13.64196699669966,8.325897098811632
Tech Headlines Score,Revenue (USD),14,21,-0.2225,-15.551641987687,485874146.5893539,-10.554510388342726,405956054.1268772
Tech Headlines Score,Revenue QoQ Growth Rate (%),37,10,-0.3383,-7.597931725184464,4.47681719397456,-17.83385544001631,6.625855816134712
Tech Headlines Score,Remaining Performance Obligations (RPO) (USD),15,21,-0.2444,-7.680638889908341,1808435032.051132,-5.886229649647115,1610711714.4727514
Tech Headlines Score,RPO QoQ Growth Rate (%),90,41,-0.2994,-0.1177216653802561,10.10941086765695,-1.3132021207257538,14.543395137047508
Tech Headlines Score,RPO YoY Growth Rate (%),9,71,-0.231,-5.180251208344916,27.5155754671617,-11.292755278322415,38.80611389718178
Tech Headlines Score,Calculated Billings (USD),63,78,0.2418,-8.981114355737464,557102517.3173922,-6.671916444464701,488424608.73886806
Tech Headlines Score,Billings YoY Growth Rate (%),71,55,0.4678,-19.78627777744049,26.353239398047897,-19.850779912772506,26.39409624543462
Product Releases Frequency,Revenue (USD),89,84,-0.1297,-13.66722880452051,568760413.1758105,-13.313277276519502,561855801.8395216
Product Releases Frequency,Revenue QoQ Growth Rate (%),71,88,-0.6345,-5.207451759362615,5.301753748173978,-6.798142727757658,5.942353249995323
Product Releases Frequency,Revenue YoY Growth Rate (%),48,76,-0.1539,-65.88636329581615,28.59349960752617,-62.88332797910906,27.94423900881305
Product Releases Frequency,RPO QoQ Growth Rate (%),89,87,-0.4827,-0.5213252241458397,11.794242309730704,-0.2320831866465866,10.61399866115812
Product Releases Frequency,Billings QoQ Growth Rate (%),89,87,-0.4464,-0.3563380120984232,21.21316615235076,-0.1567684974157421,19.590465398920102
Product Releases Frequency,Billings YoY Growth Rate (%),90,34,0.3259,-11.74066291267435,20.63201555978105,-15.245301563381515,23.29751138983004
Product Releases Frequency,Number of Large Customers (ARR >= $100k),84,1,-0.1255,-22.14150436882336,1898.861484872059,-30.83992962071706,2227.324741331721
Product Releases Frequency,Large Customer QoQ Growth Rate (%),90,42,-0.4133,-11.001792569345415,5.24772508482162,-10.000517844468998,5.024057278330505
Product Releases Frequency,Net Revenue Retention (%),89,35,-0.2145,-12.729356187117183,8.062252830219537,-15.205079995290207,8.759048213287908
